topology_case,policy,episodes,mean_total_reward_mean,std_total_reward_mean,mean_total_reward_team,std_total_reward_team,mean_energy_cost,mean_grid_import_mwh,mean_curtailment_mwh,mean_throughput_mwh,mean_voltage_deviation,worst_min_voltage_pu,worst_max_voltage_pu,worst_line_current_pu,worst_voltage_violation,worst_line_current_violation,mean_infeasible_requested_count,mean_feasible_rate,mean_converged_rate,model,seed_run,source_folder
TP5,maddpg,31,-853.2986261598826,356.23824930582754,-4266.493130799413,1781.1912465291373,612.7486762676227,15.293893480525416,5.655658995214176,3.0227759869084334,0.3836363194490312,0.9486038684844972,1.0089820623397827,1.5917085409164429,0.0013961364831854,0.0,0.2580645161290322,0.9973118279569892,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP6,maddpg,31,-903.5979695474848,375.9823662717132,-4517.9898477374245,1879.9118313585648,615.7298289988166,15.375552051097662,5.678941961661651,3.118526664437226,0.4401734018878591,0.9447911977767944,1.007821559906006,1.5900484323501587,0.0052088175934883,0.0,2.225806451612903,0.9781586021505376,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP7,maddpg,31,-842.316307543074,353.031873432326,-4211.581537715369,1765.1593671616306,613.0271249725957,15.289749365799109,5.665020162976036,2.985887929093856,0.3340124330653619,0.9562005400657654,1.0056333541870115,1.6450700759887695,0.0,0.0,0.0,1.0,1.0,gcn,run_0,gcn_ieee33_tp_full_eval_run0_best
TP1,maddpg,31,-821.3979792321506,363.2409990115252,-4106.989896160753,1816.2049950576256,591.1920807727768,14.975927910073612,5.242958974270159,5.51704106682915,0.39592891569019,0.95057475566864,1.0052645206451416,1.6203309297561646,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP2,maddpg,31,-804.4164993852378,357.22104876182544,-4022.082496926189,1786.1052438091276,587.7526203306345,14.896791906860352,5.247249455245461,5.518349806654961,0.2956573302226682,0.959229588508606,1.0076205730438232,1.6051313877105713,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP3,maddpg,31,-824.5211143387933,357.9731651173105,-4122.605571693966,1789.865825586552,595.5075233077199,15.1408297742239,5.3867490837063885,5.450300828447007,0.3752550926379939,0.9591000080108644,1.003711223602295,1.628997802734375,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP4,maddpg,31,-796.9082007751094,353.9023541319682,-3984.541003875547,1769.5117706598403,586.3921809618442,14.865587997980642,5.25077750700084,5.466950636929826,0.2496416293565304,0.9718355536460876,1.0068392753601074,1.603421330451965,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP5,maddpg,31,-824.7788256551364,363.32448322007326,-4123.894128275682,1816.622416100367,592.8381561913235,15.027163146795942,5.3139702294668805,5.384040165062629,0.3796752840280533,0.9497730135917664,1.0108351707458496,1.6014209985733032,0.0002270116504421,0.0,0.1612903225806451,0.9996639784946236,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP6,maddpg,31,-853.7922502225625,402.1466217456668,-4268.9612511128125,2010.7331087283344,592.9930848563662,15.008058891422902,5.266371301320387,5.370449456000971,0.43499439063492,0.9447911977767944,1.0102818012237549,1.5900484323501587,0.0052088175934883,0.0,1.2580645161290325,0.9932795698924732,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP7,maddpg,31,-814.7456203746399,357.2834628332562,-4073.7281018732,1786.417314166281,592.2427404729365,15.032815708257305,5.331784517216815,5.488333263637177,0.3312148191235078,0.953892707824707,1.0068950653076172,1.638890504837036,0.0,0.0,0.0,1.0,1.0,gcn,run_1,gcn_ieee33_tp_full_eval_run1_best
TP1,maddpg,31,-827.4927866353383,360.1679318777807,-4137.463933176691,1800.839659388903,595.6314255378562,15.134430092093911,5.388130215312889,5.445422167619673,0.397946840632827,0.9507886171340942,1.004267930984497,1.704435110092163,0.0,0.0,0.0,1.0,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP2,maddpg,31,-810.2079473585071,354.6571501729776,-4051.039736792535,1773.2857508648883,592.0092790518577,15.03232195280968,5.374054098154934,5.436864364693157,0.2972212960563039,0.9614391326904296,1.0062412023544312,1.6919602155685425,0.0,0.0,0.0,1.0,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP3,maddpg,31,-824.2016719080403,357.8001377821367,-4121.008359540201,1789.0006889106835,595.3149870499527,15.136309184248883,5.39133059635618,5.418984385737337,0.3748941112069353,0.957934558391571,1.0042644739151,1.7012988328933716,0.0,0.0,0.0,1.0,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP4,maddpg,31,-802.6258723400173,352.088055144509,-4013.129361700087,1760.4402757225448,590.6635609374955,14.98084747032139,5.354415199794386,5.363515919815426,0.250591742736037,0.970808207988739,1.0060291290283203,1.684898018836975,0.0,0.0,0.0,1.0,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP5,maddpg,31,-846.2754135745661,374.4339020706521,-4231.37706787283,1872.16951035326,597.7547592897677,15.231496822699846,5.506236240711052,5.348333863873347,0.3861396332141212,0.9486038684844972,1.0142114162445068,1.582014560699463,0.0013961364831854,0.0,0.8709677419354839,0.9976478494623656,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP6,maddpg,31,-924.813403119551,454.6645082451652,-4624.067015597755,2273.322541225826,599.2887260487535,15.292983700987342,5.523160102698331,5.148753316704217,0.4411062989383936,0.9447911977767944,1.0111080408096311,1.5900484323501587,0.0052088175934883,0.0,4.354838709677419,0.9909274193548387,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP7,maddpg,31,-815.1491400284821,357.90390820774155,-4075.74570014241,1789.5195410387073,592.5691530555841,15.024194299144996,5.331082175103897,5.512377411609005,0.331166395156454,0.9563491344451904,1.006887912750244,1.6972957849502563,0.0,0.0,0.0,1.0,1.0,gcn,run_2,gcn_ieee33_tp_full_eval_run2_best
TP1,mlp_maddpg,31,-828.116523457184,358.8036075646449,-4140.58261728592,1794.0180378232244,596.2512751564326,15.037561909718184,5.344271561185496,4.011629067154583,0.3963999994579822,0.9522632956504822,1.002491474151611,1.5713332891464231,0.0,0.0,0.0,1.0,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP2,mlp_maddpg,31,-809.8797179116597,352.9070064173611,-4049.398589558298,1764.5350320868058,591.901915834053,14.93060289387214,5.316414005005915,3.937579787169855,0.2957439125385335,0.961551308631897,1.00418221950531,1.5314120054244995,0.0,0.0,0.0,1.0,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP3,mlp_maddpg,31,-823.9898257263785,357.49147705761686,-4119.949128631893,1787.4573852880849,595.2835811845133,15.014196288485056,5.338350540067012,4.00374834110513,0.3734525962662632,0.9595069289207458,1.0023689270019531,1.5571653842926023,0.0,0.0,0.0,1.0,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP4,mlp_maddpg,31,-801.564163364506,350.0426711430641,-4007.82081682253,1750.2133557153204,589.9579879514099,14.882651580337004,5.30550388295882,3.917458922008188,0.2494339293409739,0.970841944217682,1.0044729709625244,1.5286186933517456,0.0,0.0,0.0,1.0,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP5,mlp_maddpg,31,-830.1606639464716,359.55360031888944,-4150.803319732358,1797.7680015944477,595.482844588611,15.01813203465094,5.346557873474745,3.976095565388346,0.3794212058306702,0.9486038684844972,1.0057814121246338,1.5846452713012695,0.0013961364831814,0.0,0.2580645161290322,0.997983870967742,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP6,mlp_maddpg,31,-877.6731898918372,402.6798099123656,-4388.365949459187,2013.399049561828,597.8813294641159,15.076400602089471,5.36673317425455,3.952702011135427,0.4352165029574466,0.9447911977767944,1.0051449537277222,1.5900484323501587,0.0052088175934829,0.0,2.129032258064516,0.984206989247312,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP7,mlp_maddpg,31,-816.9308529017193,355.3358864332216,-4084.654264508597,1776.6794321661075,593.8988634672311,14.979725845154803,5.327657796584616,3.965348831421071,0.3313720785081386,0.957115113735199,1.0034055709838867,1.5372847318649292,0.0,0.0,0.0,1.0,1.0,mlp,run_0,mlp_ieee33_tp_full_eval_run0_best
TP1,mlp_maddpg,31,-861.8214720578924,353.324733967273,-4309.107360289462,1766.6236698363648,619.5247135291804,15.550195547066432,5.870608238311131,3.51115677277357,0.4058488209641749,0.9500952959060668,1.0051426887512207,1.69334077835083,0.0,0.0,0.0967741935483871,1.0,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP2,mlp_maddpg,31,-839.952378914337,347.58931030007403,-4199.761894571685,1737.9465515003708,614.0888088897058,15.412180277983287,5.842489555037248,3.5129962477096006,0.3029322723948186,0.95864599943161,1.0100499391555786,1.687241792678833,0.0,0.0,0.0,1.0,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
TP3,mlp_maddpg,31,-855.3609813346737,352.56514771352136,-4276.804906673369,1762.8257385676072,618.3237905634401,15.5207973189178,5.866319965759591,3.5135317729867794,0.3821207220836352,0.9540174007415771,1.004704833030701,1.7116668224334717,0.0,0.0,0.0,1.0,1.0,mlp,run_1,mlp_ieee33_tp_full_eval_run1_best
