feeder,topology_case,gnn_architecture,comparison,paired_episodes,mlp_mean_cost,gnn_mean_cost,mean_difference_gnn_minus_mlp,median_difference_gnn_minus_mlp,mean_cost_improvement_percent,gnn_wins,mlp_wins,ties,gnn_win_rate_excluding_ties,wilcoxon_statistic_two_sided,p_value_two_sided,wilcoxon_statistic_gnn_lower,p_value_gnn_lower_one_sided,rank_biserial_gnn_minus_mlp,p_holm_two_sided,p_holm_gnn_lower_one_sided,significant_two_sided_0p05,significant_gnn_lower_0p05
IEEE69,TP5,gcn,GCN vs MLP,31,1586.6953408743916,1582.0337091552383,-4.661631719153335,-6.186328783134968,0.29379500897660676,26,5,0,0.8387096774193549,97.0,0.0023254938423633575,97.0,0.0011627469211816788,-0.6088709677419355,0.0023254938423633575,0.0011627469211816788,True,True
IEEE69,TP5,gat,GAT vs MLP,31,1586.6953408743916,1573.3066248576333,-13.38871601675847,-15.689402421106934,0.8438113903693739,28,3,0,0.9032258064516129,27.0,1.1743977665901184e-06,27.0,5.871988832950592e-07,-0.8911290322580645,3.5231932997703552e-06,1.7615966498851776e-06,True,True
IEEE69,TP5,tagconv,TAGCONV vs MLP,31,1586.6953408743916,1580.0526484982013,-6.6426923761905305,-6.971359057380596,0.4186495167074537,28,3,0,0.9032258064516129,44.0,1.3524666428565979e-05,44.0,6.7623332142829895e-06,-0.8225806451612904,2.7049332857131958e-05,1.3524666428565979e-05,True,True
IEEE69,TP6,gcn,GCN vs MLP,31,1586.540340107439,1581.3621079320578,-5.178232175381943,-6.82977567442731,0.3263851567134176,27,4,0,0.8709677419354839,91.0,0.0014681089669466019,91.0,0.0007340544834733009,-0.6330645161290323,0.0014681089669466019,0.0007340544834733009,True,True
IEEE69,TP6,gat,GAT vs MLP,31,1586.540340107439,1572.9093276097421,-13.631012497697226,-15.46762845887315,0.8591658310291593,28,3,0,0.9032258064516129,23.0,5.960464477539062e-07,23.0,2.980232238769531e-07,-0.907258064516129,1.7881393432617188e-06,8.940696716308594e-07,True,True
IEEE69,TP6,tagconv,TAGCONV vs MLP,31,1586.540340107439,1579.1229624722978,-7.4173776351418645,-7.515444829740318,0.4675190064589845,29,2,0,0.9354838709677419,30.0,1.8952414393424988e-06,30.0,9.476207196712494e-07,-0.8790322580645161,3.7904828786849976e-06,1.8952414393424988e-06,True,True
IEEE69,TP7,gcn,GCN vs MLP,31,1587.2525960208086,1582.5980041833534,-4.654591837455178,-6.178080853502934,0.2932483367249871,26,5,0,0.8387096774193549,97.0,0.0023254938423633575,97.0,0.0011627469211816788,-0.6088709677419355,0.0023254938423633575,0.0011627469211816788,True,True
IEEE69,TP7,gat,GAT vs MLP,31,1587.2525960208086,1573.8446183172166,-13.4079777035923,-15.696596331751152,0.8447286674600732,28,3,0,0.9032258064516129,27.0,1.1743977665901184e-06,27.0,5.871988832950592e-07,-0.8911290322580645,3.5231932997703552e-06,1.7615966498851776e-06,True,True
IEEE69,TP7,tagconv,TAGCONV vs MLP,31,1587.2525960208086,1580.5298947993108,-6.722701221497988,-6.991238356729355,0.4235432494079012,28,3,0,0.9032258064516129,42.0,1.0450370609760284e-05,42.0,5.225185304880142e-06,-0.8306451612903226,2.090074121952057e-05,1.0450370609760284e-05,True,True
IEEE69,TP8,gcn,GCN vs MLP,31,1586.45367212016,1581.9018887531095,-4.551783367050381,-6.27012368407577,0.2869156185927261,25,6,0,0.8064516129032258,101.0,0.0031182998791337013,101.0,0.0015591499395668507,-0.592741935483871,0.0031182998791337013,0.0015591499395668507,True,True
IEEE69,TP8,gat,GAT vs MLP,31,1586.45367212016,1573.3156220695182,-13.138050050642017,-15.408795986579207,0.828139534202971,28,3,0,0.9032258064516129,29.0,1.6195699572563171e-06,29.0,8.097849786281586e-07,-0.8830645161290323,4.858709871768951e-06,2.4293549358844757e-06,True,True
IEEE69,TP8,tagconv,TAGCONV vs MLP,31,1586.45367212016,1580.0895394205818,-6.364132699578146,-7.393450905085729,0.4011546514984663,28,3,0,0.9032258064516129,46.0,1.7393380403518677e-05,46.0,8.696690201759338e-06,-0.8145161290322581,3.4786760807037354e-05,1.7393380403518677e-05,True,True
IEEE69,TP9,gcn,GCN vs MLP,31,1586.5444989025543,1582.7651296936986,-3.7793692088555493,-5.588776244757355,0.23821388000588933,24,7,0,0.7741935483870968,112.0,0.0066398633643984795,112.0,0.0033199316821992397,-0.5483870967741935,0.0066398633643984795,0.0033199316821992397,True,True
IEEE69,TP9,gat,GAT vs MLP,31,1586.5444989025543,1573.6331317412694,-12.911367161285122,-14.747272826198696,0.8138042878857796,28,3,0,0.9032258064516129,26.0,9.955838322639465e-07,26.0,4.977919161319733e-07,-0.8951612903225806,2.9867514967918396e-06,1.4933757483959198e-06,True,True
IEEE69,TP9,tagconv,TAGCONV vs MLP,31,1586.5444989025543,1580.6072931788708,-5.937205723684051,-6.377811044631585,0.37422245186254827,28,3,0,0.9032258064516129,45.0,1.5350058674812317e-05,45.0,7.675029337406158e-06,-0.8185483870967742,3.0700117349624634e-05,1.5350058674812317e-05,True,True
