feeder,architecture,run,topology_case,episode_id,start_index,total_energy_cost,total_reward_mean,total_reward_team,total_grid_import_mwh,total_curtailment_mwh,total_throughput_mwh,mean_voltage_deviation,max_voltage_deviation,min_voltage_pu,max_voltage_pu,max_line_current_pu,max_voltage_violation,max_line_current_violation,infeasible_requested_count,feasible_rate,converged_rate,source_folder,source_file
IEEE33,gat,0,TP2,11,33120,864.7065206899326,-1168.3588123947382,-5841.794061973691,17.32251346505731,0.0,4.200138566421996,0.3543273235360781,0.5304465293884277,0.9661065340042114,1.0001275539398191,1.5829474925994873,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,12,33216,572.6156681576724,-783.1839644268155,-3915.9198221340775,13.001728664456095,9.412005363787737,5.770380394195192,0.2617972176522016,0.5132160782814026,0.9673905968666076,1.0021703243255615,1.5464801788330078,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,13,33312,779.8086502703595,-1062.007443022728,-5310.03721511364,20.24081654243472,0.1810030188025179,3.952828109424211,0.3858324779818455,0.5273780226707458,0.9637086987495422,1.0015037059783936,1.5578263998031616,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,14,33408,377.7575459762367,-525.7157984949648,-2628.578992474824,10.63938380166333,13.7770963188648,5.266188502307167,0.205570688471198,0.4013599753379822,0.9746151566505432,1.002856731414795,1.2003440856933594,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,15,33504,340.6507679779058,-468.1183647486381,-2340.5918237431906,9.562339419945546,1.980174923566744,5.256480775181518,0.1919078820695479,0.3505198955535888,0.9770839214324952,1.0032470226287842,1.0271481275558472,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,16,33600,564.0406250336562,-773.5347054190934,-3867.673527095467,15.19423693159381,3.4287000106881376,5.187767163987677,0.305042140185833,0.5387387871742249,0.963059425354004,1.0023038387298584,1.600015640258789,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,17,33696,705.9917889922187,-963.1429324701428,-4815.714662350714,16.98805024357515,4.219336775940101,4.9500329640214735,0.341319253668189,0.546715497970581,0.9620374441146852,1.001168131828308,1.62072491645813,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,18,33792,875.3063977919295,-1188.3683292388916,-5941.841646194458,21.744334519131044,0.0,3.722133933443193,0.4042618523041407,0.5081788897514343,0.9664639234542848,1.0,1.5209964513778689,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,19,33888,459.0073888888915,-639.0666859164834,-3195.333429582417,14.158454285910588,10.2777577151618,5.281974025135864,0.2858895479391019,0.538905680179596,0.9652798175811768,1.0021920204162598,1.6057194471359253,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
IEEE33,gat,0,TP2,20,33984,428.99726334775767,-599.8171107828617,-2999.0855539143085,14.285680363168478,9.018807224193846,5.320393784958115,0.2905270227541526,0.5525776147842407,0.9642786383628844,1.002074122428894,1.6417160034179688,0.0,0.0,0,1.0,1.0,gat_ieee33_tp_full_eval_run0_best,/network/rit/lab/dahlin_lab/amad/graph_marl_dess/results/topology_generalization/csv/gat_ieee33_tp_full_eval_run0_best/episode_summary.csv
